latency,prob
3,0.005069889
4,0.018715944
5,0.029329543
6,0.031224828
7,0.031461739
8,0.031888178
9,0.032456764
10,0.033451789
11,0.034873253
12,0.036531628
13,0.038000474
14,0.039753613
15,0.042170102
16,0.044918266
17,0.048614072
18,0.052072968
19,0.056858564
20,0.063918503
21,0.071357498
22,0.079838901
23,0.088746742
24,0.098081023
25,0.107889126
26,0.117886757
27,0.127694859
28,0.137882018
29,0.148969439
30,0.158777541
31,0.169106847
32,0.180289031
33,0.19113954
34,0.202842928
35,0.214025113
36,0.223548922
37,0.232835821
38,0.243307273
39,0.252404643
40,0.262497039
41,0.273110637
42,0.283203032
43,0.292774224
44,0.302819237
45,0.313195925
46,0.32262497
47,0.333285951
48,0.343188818
49,0.352049277
50,0.36053068
51,0.368680407
52,0.37583511
53,0.383321488
54,0.390807865
55,0.3973466
56,0.404122246
57,0.411276949
58,0.41862118
59,0.426249704
60,0.434257285
61,0.441269841
62,0.44790334
63,0.455058043
64,0.462639185
65,0.470457238
66,0.477138119
67,0.483913765
68,0.491779199
69,0.497512438
70,0.502724473
71,0.508031272
72,0.513053779
73,0.518502724
74,0.523383085
75,0.528879412
76,0.534517887
77,0.539398247
78,0.543852168
79,0.549395878
80,0.554134091
81,0.559061834
82,0.564131722
83,0.568538261
84,0.57318171
85,0.57782516
86,0.582468609
87,0.585832741
88,0.590807865
89,0.595972518
90,0.600189529
91,0.604501303
92,0.608528785
93,0.613124852
94,0.617436626
95,0.621321962
96,0.625159915
97,0.629329543
98,0.632788439
99,0.636484245
100,0.640037906
101,0.643259891
102,0.646529258
103,0.650177683
104,0.653920872
105,0.657332386
106,0.661407249
107,0.664250178
108,0.667614309
109,0.670409855
110,0.673963516
111,0.678085762
112,0.682065861
113,0.686093343
114,0.688983653
115,0.692632078
116,0.695048567
117,0.697180763
118,0.699976309
119,0.703293059
120,0.705709548
121,0.707841744
122,0.711679697
123,0.713906657
124,0.716323146
125,0.719639896
126,0.722719735
127,0.725989102
128,0.728926795
129,0.731438048
130,0.733759773
131,0.735939351
132,0.738782279
133,0.741767354
134,0.744752428
135,0.746837242
136,0.749111585
137,0.751338545
138,0.753991945
139,0.756787491
140,0.759393509
141,0.761952144
142,0.764463397
143,0.766974651
144,0.769343757
145,0.771665482
146,0.774176735
147,0.776640606
148,0.778772803
149,0.78047856
150,0.78204217
151,0.784553423
152,0.786496091
153,0.788438759
154,0.790334044
155,0.792418858
156,0.794835347
157,0.796825397
158,0.798436389
159,0.800189529
160,0.802558635
161,0.804453921
162,0.806633499
163,0.808386638
164,0.810329306
165,0.812698413
166,0.814877991
167,0.816962805
168,0.818810708
169,0.820232172
170,0.821606254
171,0.823264629
172,0.824449183
173,0.826533997
174,0.828192371
175,0.829803364
176,0.831651267
177,0.833357024
178,0.834825871
179,0.836389481
180,0.837716181
181,0.839042881
182,0.84079602
183,0.842075338
184,0.843402037
185,0.844918266
186,0.846055437
187,0.847524283
188,0.848803601
189,0.850367212
190,0.851504383
191,0.852925847
192,0.854299929
193,0.856479507
194,0.858232646
195,0.859606728
196,0.861170339
197,0.862639185
198,0.864344942
199,0.866145463
200,0.867709074
201,0.868988391
202,0.870315091
203,0.872020848
204,0.873726605
205,0.875195451
206,0.876143094
207,0.877043355
208,0.877943615
209,0.878749112
210,0.879317697
211,0.880028429
212,0.881118218
213,0.881971097
214,0.882966122
215,0.883771618
216,0.884529732
217,0.8851457
218,0.88580905
219,0.886661928
220,0.887562189
221,0.88869936
222,0.889741767
223,0.890926321
224,0.891826581
225,0.892868988
226,0.893816631
227,0.89533286
228,0.896659559
229,0.897607202
230,0.898412698
231,0.89912343
232,0.899739398
233,0.900639659
234,0.90111348
235,0.901824212
236,0.902629709
237,0.903387823
238,0.903861644
239,0.904382848
240,0.904904051
241,0.905709548
242,0.90642028
243,0.907178394
244,0.907841744
245,0.908457711
246,0.90931059
247,0.910210851
248,0.9108742
249,0.911584932
250,0.912295665
251,0.913006397
252,0.914096186
253,0.914806918
254,0.915659796
255,0.916512675
256,0.917649846
257,0.918550107
258,0.919166074
259,0.920208481
260,0.920824449
261,0.921250888
262,0.92172471
263,0.922293295
264,0.922909263
265,0.923572613
